crno,company_name,enpEmpeCnt,enpBsadr,enpHmpgUrl,상장여부,top_region,employee_count
1101110013774,(주)두산,1749.0,서울특별시 중구  장충단로 275 두산타원,www.doosancorp.co.kr,1.0,서울,1749.0
1101110208169,하나증권 주식회사,1746.0,서울특별시 영등포구 의사당대로 82,www.hanaw.com,0.0,서울,1746.0
1101110641434,롯데카드주식회사,1745.0,"서울특별시 종로구 새문안로 76 (신문로1가, 콘코디언(concordian))",www.lottecard.co.kr,0.0,서울,1745.0
1101110003668,(주)한진,1673.0,서울특별시 중구 남대문로 63 한진빌딩,www.hanjin.com,1.0,서울,1673.0
1101110163115,디엘건설(주),1669.0,인천광역시 남동구  미래로 14,www.dlconstruction.co.kr,0.0,인천,1669.0
1101110092976,남양유업(주),1649.0,서울특별시 강남구 도산대로 240 1964빌딩,www.namyangi.com,1.0,서울,1649.0
1101110012560,(주)보령,1645.0,서울 종로구 원남동 보령빌딩 66-21,www.boryung.co.kr,1.0,서울,1645.0
1101110222557,주식회사 메가마트,1639.0,서울특별시 금천구 시흥대로27길 32 (주)메가마트,www.megamart.com,0.0,서울,1639.0
1101110205975,금호석유화학(주),1606.0,"서울특별시 중구 청계천로 100 (수표동, 시그니쳐타워)",www.kkpc.com,1.0,서울,1606.0
1101110141301,메리츠증권(주),1593.0,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터)",www.imeritz.com,0.0,서울,1593.0
1101110099774,서울보증보험(주),1547.0,서울특별시 종로구 김상옥로 29,www.sgic.co.kr,1.0,서울,1547.0
1101110139017,(주)제일기획,1511.0,서울특별시 용산구  이태원로 222 제일기획,www.cheil.co.kr,1.0,서울,1511.0
1101110129274,(주)파라다이스,1497.0,서울특별시 중구 퇴계로 299,www.paradise.co.kr/ko/main,1.0,서울,1497.0
1101110042955,대신증권(주),1432.0,서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터,www.daishin.com,1.0,서울,1432.0
1101110660806,(주)희림종합건축사사무소,1405.0,서울특별시 강동구 상일로6길 39-,www.heerim.com,0.0,서울,1405.0
1101110035835,대한전선(주),1382.0,경기도 안양시 동안구 관양동 1746-2 대한스마트타워,www.taihan.com,1.0,경기,1382.0
1101110186638,(주)이수페타시스,1368.0,대구광역시 달성군  논공읍 논공로53길 36 이수페타시스,www.petasys.com,1.0,대구,1368.0
