id,crno,name,address,status,query_address,matched_address,address_type,latitude,longitude
parent_company:1101110270895,1101110270895,(주)한솔케미칼,서울특별시 강남구 테헤란로 513K Tower 7F / 8F,ok,서울특별시 강남구 테헤란로 513K Tower 7F / 8F,서울 강남구 테헤란로 513,ROAD_ADDR,37.5080031582356,127.058887185824
parent_company:1101110825624,1101110825624,(주)한솔홈데코,서울특별시 동작구 보라매로5길 15 전문건설회관빌딩,ok,서울특별시 동작구 보라매로5길 15 전문건설회관빌딩,서울 동작구 보라매로5길 15,ROAD_ADDR,37.4921758625358,126.924271334879
parent_company:1101110003668,1101110003668,(주)한진,서울특별시 중구 남대문로 63 한진빌딩,ok,서울특별시 중구 남대문로 63 한진빌딩,서울 중구 남대문로 63,ROAD_ADDR,37.5630641743761,126.981365694181
parent_company:1101110110083,1101110110083,(주)한진중공업홀딩스,경기도 남양주시 별내3로 391 관리동 1층,ok,경기도 남양주시 별내3로 391 관리동 1층,경기 남양주시 별내3로 391,ROAD_ADDR,37.6723290363546,127.113090813448
parent_company:1101115197193,1101115197193,(주)한진칼,서울특별시 중구 서소문로 117 -,ok,서울특별시 중구 서소문로 117 -,서울 중구 서소문로 117,ROAD_ADDR,37.5635792605238,126.974124287105
parent_company:1101110725064,1101110725064,(주)한컴,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동, 한컴타워)",ok,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동, 한컴타워)",경기 성남시 분당구 대왕판교로644번길 49,ROAD_ADDR,37.4001662034279,127.112312371111
parent_company:2301110052355,2301110052355,(주)한텍,울산광역시 울주군 온산읍 연자로 51,ok,울산광역시 울주군 온산읍 연자로 51,울산 울주군 온산읍 연자로 51,ROAD_ADDR,35.418880993229,129.35792629092
parent_company:1101110002959,1101110002959,(주)한화,서울특별시 중구 청계천로 86 24층,ok,서울특별시 중구 청계천로 86 24층,서울 중구 청계천로 86,ROAD_ADDR,37.5675213832268,126.986526801038
parent_company:1101110202989,1101110202989,(주)한화갤러리아,서울특별시 영등포구 63로 50,ok,서울특별시 영등포구 63로 50,서울 영등포구 63로 50,ROAD_ADDR,37.5196641552816,126.939909338068
parent_company:1101112644725,1101112644725,(주)현대백화점,서울특별시 강남구 테헤란로98길 12 -,ok,서울특별시 강남구 테헤란로98길 12 -,서울 강남구 테헤란로98길 12,ROAD_ADDR,37.5074139356357,127.062160877693
parent_company:1101111042574,1101111042574,(주)현대에버다임,충청북도 진천군 진천읍 부영길 49,ok,충청북도 진천군 진천읍 부영길 49,충북 진천군 진천읍 부영길 49,ROAD_ADDR,36.8747572023995,127.436747275231
