id,crno,name,address,status,query_address,matched_address,address_type,latitude,longitude
subsidiary:name:에스피남양주별내피에프브이|address:서울시강남구테헤란로23122층,,에스피남양주별내피에프브이㈜,서울시 강남구 테헤란로 231 22층,ok,서울시 강남구 테헤란로 231 22층,서울 강남구 테헤란로 231,ROAD_ADDR,37.5028813541774,127.041356540268
subsidiary:name:에스피아이베타제일차|address:서울특별시영등포구여의대로24전경련회관43층,,에스피아이베타제일차㈜,서울특별시 영등포구 여의대로 24 전경련회관 43층,ok,서울특별시 영등포구 여의대로 24 전경련회관 43층,서울 영등포구 여의대로 24,ROAD_ADDR,37.5221803249647,126.919916550827
subsidiary:name:에스피에이제일차|address:서울특별시영등포구여의대로10813층,,에스피에이제일차,서울특별시 영등포구 여의대로 108 13층,ok,서울특별시 영등포구 여의대로 108 13층,서울 영등포구 여의대로 108,ROAD_ADDR,37.5252014942155,126.929108448093
subsidiary:name:에스피지제일차|address:서울중구소공로48,,에스피지제일차 주식회사,서울 중구 소공로 48,ok,서울 중구 소공로 48,서울 중구 소공로 48,ROAD_ADDR,37.5598230959569,126.983074047671
subsidiary:name:에스피청주일반사모부동산투자회사|address:서울시영등포구여의공원로115,,에스피청주일반사모부동산투자회사,서울시 영등포구 여의공원로 115,ok,서울시 영등포구 여의공원로 115,서울 영등포구 여의공원로 115,ROAD_ADDR,37.5301063102401,126.926220220484
subsidiary:name:에스향동|address:서울특별시영등포구국제금융로8길316층여의도동sk증권빌딩,,에스향동㈜,서울특별시 영등포구 국제금융로8길 31 6층 (여의도동 SK증권빌딩),ok,서울특별시 영등포구 국제금융로8길 31 6층 (여의도동 SK증권빌딩),서울 영등포구 국제금융로8길 31,ROAD_ADDR,37.5197460148873,126.928066576601
subsidiary:name:에쓰지씨멀티파워제삼차7|address:서울시영등포구,,에쓰지씨멀티파워제삼차㈜ (*7),서울시 영등포구,ok,서울시 영등포구,서울 영등포구,REGION,37.5263635705034,126.896273923703
subsidiary:name:에쓰지씨멀티파워제이차7|address:서울시영등포구,,에쓰지씨멀티파워제이차㈜ (*7),서울시 영등포구,ok,서울시 영등포구,서울 영등포구,REGION,37.5263635705034,126.896273923703
subsidiary:name:에어라인제십이차|address:서울특별시영등포구여의대로24전경련회관43층,,에어라인제십이차㈜,서울특별시 영등포구 여의대로 24 전경련회관 43층,ok,서울특별시 영등포구 여의대로 24 전경련회관 43층,서울 영등포구 여의대로 24,ROAD_ADDR,37.5221803249647,126.919916550827
subsidiary:name:에어라인제팔차|address:서울특별시영등포구여의대로24전경련회관43층,,에어라인제팔차㈜,서울특별시 영등포구 여의대로 24 전경련회관 43층,ok,서울특별시 영등포구 여의대로 24 전경련회관 43층,서울 영등포구 여의대로 24,ROAD_ADDR,37.5221803249647,126.919916550827
subsidiary:name:에어로케이항공|address:충북청주시흥덕구오송읍오송생명3로154,,에어로케이항공(주),충북 청주시 흥덕구 오송읍 오송생명3로 154,ok,충북 청주시 흥덕구 오송읍 오송생명3로 154,충북 청주시 흥덕구 오송읍 오송생명3로 154,ROAD_ADDR,36.6243034485891,127.324981733224
subsidiary:name:에어로케이홀딩스|address:충북청주시흥덕구오송읍오송생명3로154,,에어로케이홀딩스(주),충북 청주시 흥덕구 오송읍 오송생명3로 154,ok,충북 청주시 흥덕구 오송읍 오송생명3로 154,충북 청주시 흥덕구 오송읍 오송생명3로 154,ROAD_ADDR,36.6243034485891,127.324981733224
subsidiary:name:에어부산|address:부산광역시강서구유통단지1로57번가길6,,에어부산㈜,부산광역시 강서구 유통단지1로57번가길 6,ok,부산광역시 강서구 유통단지1로57번가길 6,부산 강서구 유통단지1로57번가길 6,ROAD_ADDR,35.1655695187622,128.954832871355
subsidiary:name:에어서울|address:인천광역시중구제2터미널대로446,,에어서울(주),인천광역시 중구 제2 터미널대로 446,ok,인천광역시 중구 제2 터미널대로 446,인천 영종구 제2터미널대로 446,ROAD_ADDR,37.4692488244219,126.43320918812
subsidiary:name:에이버리일차|address:서울특별시영등포구국제금융로701705호,,에이버리일차,서울특별시 영등포구 국제금융로 70 1705호,ok,서울특별시 영등포구 국제금융로 70 1705호,서울 영등포구 국제금융로 70,ROAD_ADDR,37.5214946207638,126.930677790628
subsidiary:name:에이블대성제일차주1|address:서울시영등포구여의나루로4길216층여의도동현대증권빌딩,,에이블대성제일차(유) (주1),서울시 영등포구 여의나루로4길 21 6층(여의도동 현대증권빌딩),ok,서울시 영등포구 여의나루로4길 21 6층(여의도동 현대증권빌딩),서울 영등포구 여의나루로4길 21,ROAD_ADDR,37.5216481405685,126.928393936305
subsidiary:name:에이비테크|address:대구광역시달성군구지면달성2차4로75,,에이비테크(주),대구광역시 달성군 구지면 달성2차4로 75,ok,대구광역시 달성군 구지면 달성2차4로 75,대구 달성군 구지면 달성2차4로 75,ROAD_ADDR,35.6381057400727,128.426471086014
subsidiary:name:에이스냉동공조|address:경기도화성시장안면수정로299번길43,,에이스냉동공조㈜,경기도 화성시 장안면 수정로 299번길 43,ok,경기도 화성시 장안면 수정로 299번길 43,경기 화성시 만세구 장안면 수정로299번길 43,ROAD_ADDR,37.0912172380086,126.858093764127
subsidiary:name:에이스제일차|address:서울특별시영등포구국제금융로2길24여의도동,,에이스제일차㈜,서울특별시 영등포구 국제금융로2길 24(여의도동),ok,서울특별시 영등포구 국제금융로2길 24(여의도동),서울 영등포구 국제금융로2길 24,ROAD_ADDR,37.5243047905812,126.924840024112
subsidiary:name:에이쓰리동산제오차주2|address:주1,,에이쓰리동산제오차㈜(주2),(주1),no_match,(주1),,,,
subsidiary:name:에이쓰리동산제오차주3|address:주2,,에이쓰리동산제오차㈜(주3),주2),no_match,주2),,,,
subsidiary:name:에이씨앤티시스템|address:경기도안양시동안구엘에스로91번길1611호계동,,에이씨앤티시스템㈜,경기도 안양시 동안구 엘에스로 91번길 16-11 (호계동),ok,경기도 안양시 동안구 엘에스로 91번길 16-11 (호계동),경기 안양시 동안구 엘에스로91번길 16-11,ROAD_ADDR,37.3702384728303,126.94952383204
subsidiary:name:에이아이라데팡스제일차|address:서울특별시중구삼일대로343저동1가대신파이낸스센터,,에이아이라데팡스제일차㈜,서울특별시 중구 삼일대로 343 (저동1가 대신파이낸스센터),ok,서울특별시 중구 삼일대로 343 (저동1가 대신파이낸스센터),서울 중구 삼일대로 343,ROAD_ADDR,37.5651004556362,126.986959615068
subsidiary:name:에이아이에스독일제일차|address:서울특별시영등포구국제금융로10threeifc,,에이아이에스독일제일차,서울특별시 영등포구 국제금융로 10 Three IFC,ok,서울특별시 영등포구 국제금융로 10 Three IFC,서울 영등포구 국제금융로 10,ROAD_ADDR,37.5251355582821,126.924908764095
subsidiary:name:에이아이파트너스uk상수도일반사모특별자산투자신탁제2호|address:서울영등포구여의나루로531,,에이아이파트너스UK상수도 일반사모특별자산투자신탁제2호,서울 영등포구 여의나루로 53-1,ok,서울 영등포구 여의나루로 53-1,서울 영등포구 여의나루로 53-1,ROAD_ADDR,37.5227019151559,126.924993896764
subsidiary:name:에이아이파트너스업스트림일반사모특별자산투자신탁3호|address:서울특별시영등포구여의나루로531대오빌딩,,에이아이파트너스업스트림일반사모특별자산투자신탁3호,서울특별시 영등포구 여의나루로 53-1(대오빌딩),ok,서울특별시 영등포구 여의나루로 53-1(대오빌딩),서울 영등포구 여의나루로 53-1,ROAD_ADDR,37.5227019151559,126.924993896764
subsidiary:name:에이아이파트너스업스트림일반사모특별자산투자신탁4호|address:서울특별시영등포구여의나루로531대오빌딩702호,,에이아이파트너스업스트림일반사모특별자산투자신탁4호,서울특별시 영등포구 여의나루로 53-1(대오빌딩) 702호,ok,서울특별시 영등포구 여의나루로 53-1(대오빌딩) 702호,서울 영등포구 여의나루로 53-1,ROAD_ADDR,37.5227019151559,126.924993896764
subsidiary:name:에이아이파트너스업스트림일반투자형사모특별자산투자신탁2호|address:서울특별시영등포구여의나루로531702호여의도동대오빌딩,,에이아이파트너스업스트림일반투자형사모특별자산투자신탁2호,서울특별시 영등포구 여의나루로 53-1 702호(여의도동 대오빌딩),ok,서울특별시 영등포구 여의나루로 53-1 702호(여의도동 대오빌딩),서울 영등포구 여의나루로 53-1,ROAD_ADDR,37.5227019151559,126.924993896764
subsidiary:name:에이아이파트너스에너지인프라일반사모특별자산투자신탁3호|address:서울특별시영등포구여의나루로531702호여의도동대오빌딩,,에이아이파트너스에너지인프라일반사모특별자산투자신탁3호,서울특별시 영등포구 여의나루로 53-1 702호 (여의도동 대오빌딩),ok,서울특별시 영등포구 여의나루로 53-1 702호 (여의도동 대오빌딩),서울 영등포구 여의나루로 53-1,ROAD_ADDR,37.5227019151559,126.924993896764
subsidiary:name:에이아이피프라이어티|address:서울특별시영등포구국제금융로2길24여의도동,,에이아이피프라이어티,서울특별시 영등포구 국제금융로2길 24(여의도동),ok,서울특별시 영등포구 국제금융로2길 24(여의도동),서울 영등포구 국제금융로2길 24,ROAD_ADDR,37.5243047905812,126.924840024112
subsidiary:name:에이오엠지|address:서울특별시성동구독서당로198,,에이오엠지(주),서울특별시 성동구 독서당로 198,ok,서울특별시 성동구 독서당로 198,서울 성동구 독서당로 198,ROAD_ADDR,37.5429532979365,127.013037544862
subsidiary:name:에이원노텍|address:서울시영등포구의사당대로97,,에이원노텍(주),서울시 영등포구 의사당대로97,ok,서울시 영등포구 의사당대로97,서울 영등포구 의사당대로 97,ROAD_ADDR,37.522516139033,126.924586046016
subsidiary:name:에이원브리즈|address:서울특별시영등포구의사당대로9713층여의도동교보증권빌딩,,에이원브리즈,서울특별시 영등포구 의사당대로 97 13층(여의도동 교보증권빌딩),ok,서울특별시 영등포구 의사당대로 97 13층(여의도동 교보증권빌딩),서울 영등포구 의사당대로 97,ROAD_ADDR,37.522516139033,126.924586046016
