crno,sbrdEnpNm,sbrdEnpMainBizCtt,domestic,name_norm,addr,region,sicNm,대분류
1101114566406,시그너스제이차,자산유동화,국내,시그너스제이차,서울특별시 영등포구 국제금융로 10 Two IFC 20층,서울,자산유동화,금융
1101114566406,메리밀라노,자산유동화,국내,메리밀라노,서울특별시 영등포구 여의대로 60(여의도동),서울,자산유동화,금융
1101114566406,케이에스엘제일차,자산유동화,국내,케이에스엘제일차,서울특별시 영등포구 국제금융로 70 710-c호,서울,자산유동화,금융
1101114566406,그래스랜즈제이차,자산유동화,국내,그래스랜즈제이차,서울특별시 영등포구 여의대로 60,서울,자산유동화,금융
1101114566406,케이에스엘제이차,자산유동화,국내,케이에스엘제이차,서울특별시 영등포구 국제금융로 70 710-c호,서울,자산유동화,금융
1101114566406,비엔나로즈,자산유동화,국내,비엔나로즈,서울특별시 영등포구 여의대로 60(여의도동),서울,자산유동화,금융
1101114566406,지엠뉴욕제일차,자산유동화,국내,지엠뉴욕제일차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,쥐피아이제십오차,자산유동화,국내,쥐피아이제십오차,서울특별시 영등포구 국제금융로 6길 11,서울,자산유동화,금융
1101114566406,에코그란데,자산유동화,국내,에코그란데,서울특별시 송파구 오금로 62(신천동),서울,자산유동화,금융
1101114566406,쥐피아이제십칠차,자산유동화,국내,쥐피아이제십칠차,서울특별시 영등포구 국제금융로 6길 11,서울,자산유동화,금융
1101114566406,쥐피아이제십구차,자산유동화,국내,쥐피아이제십구차,서울특별시 영등포구 국제금융로 10,서울,자산유동화,금융
1101114566406,에이치디비에이제삼차,자산유동화,국내,에이치디비에이제삼차,서울특별시 송파구 오금로 62 1층(신천동),서울,자산유동화,금융
1101114566406,서초테라스힐제일차,자산유동화,국내,서초테라스힐제일차,서울특별시 영등포구 여의나루로 60 30(여의도동),서울,자산유동화,금융
1101114566406,에스코퍼제일차,자산유동화,국내,에스코퍼제일차,서울특별시 영등포구 국제금융로 10 Three IFC 22층,서울,자산유동화,금융
1101114566406,카탈리스트제이차,자산유동화,국내,카탈리스트제이차,서울특별시 영등포구 국제금융로 10 Three IFC 22층,서울,자산유동화,금융
